tag,p_tag,sex,partner_type,age,p_age,pers,p_pers,pair_id,cycle,cycle_p_tag,cycle_pair,new_part,NumDays,breed_stage,no_hours,part_prev_bout
19963,27641,Female,Logger,14,22,1.477475,1.892628,19963_27641,B,B_27641,B_19963_27641,0,74,incu,351.1666667,170.8333333
19963,27641,Female,Logger,14,22,1.477475,1.892628,19963_27641,B,B_27641,B_19963_27641,0,38,incu,145.1666667,18
20551,21682,Female,Partner,18,17,1.399439,1.363779,20551_21682,B,B_21682,B_20551_21682,0,8,incu,61.66666667,137.66664
20551,21682,Female,Partner,18,17,1.399439,1.363779,20551_21682,B,B_21682,B_20551_21682,0,30,incu,163.6666667,326.49984
20551,21682,Female,Partner,18,17,1.399439,1.363779,20551_21682,B,B_21682,B_20551_21682,0,10,incu,143.1666667,0.49992
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,63,incu,217.8333333,165.66648
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,25,incu,159.8333333,224.00016
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,8,incu,175.1666667,90.16656
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,36,incu,235.5,114.66672
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,52,incu,96.33333333,151.83336
20800,18897,Male,Partner,10,17,2.684725,0.8921932,20800_18897,B,B_18897,B_20800_18897,0,83,incu,293,254.66664
21182,27854,Male,Partner,17,30,1.544845,4.862843,21182_27854,B,B_27854,B_21182_27854,0,90,incu,166.6666667,102.66672
21182,27854,Male,Partner,17,30,1.544845,4.862843,21182_27854,B,B_27854,B_21182_27854,0,85,incu,13.33333333,75.33336
21185,28454,Female,Logger,21,22,1.072549,1.25035,21185_28454,B,B_28454,B_21185_28454,0,18,incu,343.1669444,120.3333333
21185,28454,Female,Logger,21,22,1.072549,1.25035,21185_28454,B,B_28454,B_21185_28454,0,2,incu,271.1669444,16.83333333
21185,28454,Female,Logger,21,22,1.072549,1.25035,21185_28454,B,B_28454,B_21185_28454,0,50,incu,384.5,420
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,19,incu,23.16666667,47.16666667
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,17,incu,5.499722222,74.16666667
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,21,incu,29,16.33333333
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,7,incu,38.66694444,39.83333333
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,13,incu,16.16666667,98
21667,4705,Male,Logger,39,38,0.3438821,3.404814,21667_4705,B,B_4705,B_21667_4705,0,5,incu,8.166666667,126.666672
21682,20551,Male,Logger,17,18,1.363779,1.399439,21682_20551,B,B_20551,B_21682_20551,0,16,incu,326.4997222,143.1666667
21682,20551,Male,Logger,17,18,1.363779,1.399439,21682_20551,B,B_20551,B_21682_20551,0,2,incu,137.6666667,28.83333333
21682,20551,Male,Logger,17,18,1.363779,1.399439,21682_20551,B,B_20551,B_21682_20551,0,10,incu,0.5,61.66666667
23718,7025,Female,Partner,22,33,1.003159,3.684725,23718_7025,B,B_7025,B_23718_7025,0,30,incu,187.6666667,144.83352
23718,7025,Female,Partner,22,33,1.003159,3.684725,23718_7025,B,B_7025,B_23718_7025,0,14,incu,156.3333333,144.66672
23718,7025,Female,Partner,22,33,1.003159,3.684725,23718_7025,B,B_7025,B_23718_7025,0,23,incu,22.66666667,72.33336
23718,7025,Female,Partner,22,33,1.003159,3.684725,23718_7025,B,B_7025,B_23718_7025,0,7,incu,23.5,9.66672
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,18,incu,74.333328,9.49992
